year,0m,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,11m,12m,13m,14m,15m,16m,17m,18m,19m,20m,21m,22m,23m,24m,25m,26m,27m,28m,29m,30m,31m,32m,33m,34m,35m,36m,37m,38m,39m,40m,41m,42m,43m,44m,45m,46m,47m,48m,49m,50m,51m,52m,53m,54m,55m,56m,57m,58m,59m,60m,61m,62m,63m,64m,65m,66m,67m,68m,69m,70m,71m,72m,73m,74m,75m,76m,77m,78m,79m,80m,81m,82m,83m,84m,85m,86m,87m,88m,89m,90m,91m,92m,93m,94m,95m,96m,97m,98m,99m,100m,0f,1f,2f,3f,4f,5f,6f,7f,8f,9f,10f,11f,12f,13f,14f,15f,16f,17f,18f,19f,20f,21f,22f,23f,24f,25f,26f,27f,28f,29f,30f,31f,32f,33f,34f,35f,36f,37f,38f,39f,40f,41f,42f,43f,44f,45f,46f,47f,48f,49f,50f,51f,52f,53f,54f,55f,56f,57f,58f,59f,60f,61f,62f,63f,64f,65f,66f,67f,68f,69f,70f,71f,72f,73f,74f,75f,76f,77f,78f,79f,80f,81f,82f,83f,84f,85f,86f,87f,88f,89f,90f,91f,92f,93f,94f,95f,96f,97f,98f,99f,100f
2050,2,3,3,3,3,3,3,2,3,3,3,3,4,4,4,5,5,5,5,6,6,7,8,9,9,8,8,7,7,7,7,8,13,14,13,13,9,12,9,9,6,12,12,5,9,11,6,10,18,17,16,17,11,15,14,13,23,26,24,13,16,14,18,20,18,13,12,12,14,10,14,9,15,9,12,11,12,15,14,13,12,14,12,13,7,9,6,5,5,4,4,4,3,3,3,2,2,2,2,1,0,2,2,3,3,3,2,3,2,2,2,3,3,3,3,3,4,4,5,5,5,6,7,8,8,8,8,7,7,6,6,6,13,11,15,11,12,7,12,5,3,8,6,7,9,6,8,9,10,9,21,19,13,14,11,20,20,20,17,14,27,16,23,18,11,11,13,10,10,9,18,25,15,11,9,15,21,19,11,15,20,14,18,15,13,15,17,11,7,10,6,5,5,4,4,3,3,3,2,2,2,0
2051,2,2,3,3,3,3,3,3,2,3,3,3,3,4,4,4,5,5,5,5,6,6,7,8,9,9,8,8,7,7,7,7,8,13,14,13,13,9,12,9,9,6,12,12,5,9,11,6,10,18,17,16,17,11,15,14,13,23,26,24,13,16,14,18,20,18,13,12,12,14,10,14,9,15,9,12,11,12,14,13,12,11,13,11,12,6,8,5,5,4,4,4,3,3,3,2,2,2,2,1,0,1,2,2,3,3,3,2,3,2,2,2,3,3,3,3,3,4,4,5,5,5,6,7,8,8,8,8,7,7,6,6,6,13,11,15,11,12,7,12,5,3,8,6,7,9,6,8,9,10,9,21,19,13,14,11,20,20,20,17,14,27,16,23,18,11,11,13,10,10,9,18,25,15,11,9,15,21,19,11,15,19,14,17,14,12,14,16,10,7,9,6,5,4,4,3,3,3,2,2,2,0
2052,2,2,2,3,3,3,3,3,3,2,3,3,3,3,4,4,4,5,5,5,5,6,6,7,8,9,9,8,8,7,7,7,7,8,13,14,13,13,9,12,9,9,6,12,12,5,9,11,6,10,18,17,16,17,11,15,14,13,23,26,24,13,16,14,18,20,18,13,12,12,14,10,14,9,15,9,12,11,12,13,12,11,10,12,10,11,6,7,5,4,4,4,3,3,3,2,2,2,2,1,0,1,1,2,2,3,3,3,2,3,2,2,2,3,3,3,3,3,4,4,5,5,5,6,7,8,8,8,8,7,7,6,6,6,13,11,15,11,12,7,12,5,3,8,6,7,9,6,8,9,10,9,21,19,13,14,11,20,20,20,17,14,27,16,23,18,11,11,13,10,10,9,18,25,15,11,9,15,21,19,11,15,18,14,16,13,11,13,15,9,6,8,5,4,4,3,3,3,2,2,2,0
2053,2,2,2,2,3,3,3,3,3,3,2,3,3,3,3,4,4,4,5,5,5,5,6,6,7,8,9,9,8,8,7,7,7,7,8,13,14,13,13,9,12,9,9,6,12,12,5,9,11,6,10,18,17,16,17,11,15,14,13,23,26,24,13,16,14,18,20,18,13,12,12,14,10,14,9,15,9,12,11,12,12,11,10,9,11,9,10,5,6,4,4,4,3,3,3,2,2,2,2,1,0,1,1,1,2,2,3,3,3,2,3,2,2,2,3,3,3,3,3,4,4,5,5,5,6,7,8,8,8,8,7,7,6,6,6,13,11,15,11,12,7,12,5,3,8,6,7,9,6,8,9,10,9,21,19,13,14,11,20,20,20,17,14,27,16,23,18,11,11,13,10,10,9,18,25,15,11,9,15,21,19,11,15,17,13,15,12,10,12,14,8,6,7,4,4,3,3,3,2,2,2,0
2054,2,2,2,2,2,3,3,3,3,3,3,2,3,3,3,3,4,4,4,5,5,5,5,6,6,7,8,9,9,8,8,7,7,7,7,8,13,14,13,13,9,12,9,9,6,12,12,5,9,11,6,10,18,17,16,17,11,15,14,13,23,26,24,13,16,14,18,20,18,13,12,12,14,10,14,9,15,9,12,11,11,11,10,9,8,10,8,9,5,5,4,4,3,3,3,2,2,2,2,1,0,1,1,1,1,2,2,3,3,3,2,3,2,2,2,3,3,3,3,3,4,4,5,5,5,6,7,8,8,8,8,7,7,6,6,6,13,11,15,11,12,7,12,5,3,8,6,7,9,6,8,9,10,9,21,19,13,14,11,20,20,20,17,14,27,16,23,18,11,11,13,10,10,9,18,25,15,11,9,15,21,19,11,15,16,12,14,11,9,11,13,7,5,6,4,3,3,3,2,2,2,0
2055,2,2,2,2,2,2,3,3,3,3,3,3,2,3,3,3,3,4,4,4,5,5,5,5,6,6,7,8,9,9,8,8,7,7,7,7,8,13,14,13,13,9,12,9,9,6,12,12,5,9,11,6,10,18,17,16,17,11,15,14,13,23,26,24,13,16,14,18,20,18,13,12,12,14,10,14,9,15,9,12,11,10,10,9,8,7,9,7,8,4,4,4,3,3,3,2,2,2,2,2,0,2,1,1,1,1,2,2,3,3,3,2,3,2,2,2,3,3,3,3,3,4,4,5,5,5,6,7,8,8,8,8,7,7,6,6,6,13,11,15,11,12,7,12,5,3,8,6,7,9,6,8,9,10,9,21,19,13,14,11,20,20,20,17,14,27,16,23,18,11,11,13,10,10,9,18,25,15,11,9,15,20,18,11,14,15,11,13,10,8,10,12,6,5,5,4,3,3,2,2,2,0
2056,3,2,2,2,2,2,2,3,3,3,3,3,3,2,3,3,3,3,4,4,4,5,5,5,5,6,6,7,8,9,9,8,8,7,7,7,7,8,13,14,13,13,9,12,9,9,6,12,12,5,9,11,6,10,18,17,16,17,11,15,14,13,23,26,24,13,16,14,18,20,18,13,12,12,14,10,14,9,14,9,11,10,9,9,8,7,6,8,6,7,4,4,3,3,3,2,2,2,2,2,0,2,2,1,1,1,1,2,2,3,3,3,2,3,2,2,2,3,3,3,3,3,4,4,5,5,5,6,7,8,8,8,8,7,7,6,6,6,13,11,15,11,12,7,12,5,3,8,6,7,9,6,8,9,10,9,21,19,13,14,11,20,20,20,17,14,27,16,23,18,11,11,13,10,10,9,18,25,15,11,9,15,19,17,11,13,14,10,12,9,7,9,11,5,4,4,3,3,2,2,2,0
2057,3,3,2,2,2,2,2,2,3,3,3,3,3,3,2,3,3,3,3,4,4,4,5,5,5,5,6,6,7,8,9,9,8,8,7,7,7,7,8,13,14,13,13,9,12,9,9,6,12,12,5,9,11,6,10,18,17,16,17,11,15,14,13,23,26,24,13,16,14,18,20,18,13,12,12,14,10,14,9,13,9,10,9,8,8,7,6,6,7,5,6,4,3,3,3,2,2,2,2,2,0,2,2,2,1,1,1,1,2,2,3,3,3,2,3,2,2,2,3,3,3,3,3,4,4,5,5,5,6,7,8,8,8,8,7,7,6,6,6,13,11,15,11,12,7,12,5,3,8,6,7,9,6,8,9,10,9,21,19,13,14,11,20,20,20,17,14,27,16,23,18,11,11,13,10,10,9,18,25,15,11,9,15,18,16,11,12,13,9,11,8,6,8,10,4,4,3,3,2,2,2,0
2058,3,3,3,2,2,2,2,2,2,3,3,3,3,3,3,2,3,3,3,3,4,4,4,5,5,5,5,6,6,7,8,9,9,8,8,7,7,7,7,8,13,14,13,13,9,12,9,9,6,12,12,5,9,11,6,10,18,17,16,17,11,15,14,13,23,26,24,13,16,14,18,20,18,13,12,12,14,10,14,9,12,9,9,8,8,7,6,6,5,6,4,5,3,3,3,2,2,2,2,2,0,2,2,2,2,1,1,1,1,2,2,3,3,3,2,3,2,2,2,3,3,3,3,3,4,4,5,5,5,6,7,8,8,8,8,7,7,6,6,6,13,11,15,11,12,7,12,5,3,8,6,7,9,6,8,9,10,9,21,19,13,14,11,20,20,20,17,14,27,16,23,18,11,11,13,10,10,9,18,25,15,11,9,15,17,15,11,11,12,8,10,7,5,7,9,4,3,3,2,2,2,0
2059,3,3,3,3,2,2,2,2,2,2,3,3,3,3,3,3,2,3,3,3,3,4,4,4,5,5,5,5,6,6,7,8,9,9,8,8,7,7,7,7,8,13,14,13,13,9,12,9,9,6,12,12,5,9,11,6,10,18,17,16,17,11,15,14,13,23,26,24,13,16,14,18,20,18,13,12,12,14,10,13,9,11,9,8,8,7,6,6,5,4,5,4,4,3,3,2,2,2,2,2,0,2,2,2,2,2,1,1,1,1,2,2,3,3,3,2,3,2,2,2,3,3,3,3,3,4,4,5,5,5,6,7,8,8,8,8,7,7,6,6,6,13,11,15,11,12,7,12,5,3,8,6,7,9,6,8,9,10,9,21,19,13,14,11,20,20,20,17,14,27,16,23,18,11,11,13,10,10,9,18,24,15,11,9,14,16,14,10,10,11,7,9,6,5,6,8,3,3,2,2,2,0
2060,2,3,3,3,3,2,2,2,2,2,2,3,3,3,3,3,3,2,3,3,3,3,4,4,4,5,5,5,5,6,6,7,8,9,9,8,8,7,7,7,7,8,13,14,13,13,9,12,9,9,6,12,12,5,9,11,6,10,18,17,16,17,11,15,14,13,23,26,24,13,16,14,18,20,18,13,12,12,14,10,12,9,10,8,8,7,6,6,5,4,4,4,3,3,3,2,2,2,2,2,0,2,2,2,2,2,2,1,1,1,1,2,2,3,3,3,2,3,2,2,2,3,3,3,3,3,4,4,5,5,5,6,7,8,8,8,8,7,7,6,6,6,13,11,15,11,12,7,12,5,3,8,6,7,9,6,8,9,10,9,21,19,13,14,11,20,20,20,17,14,27,16,23,18,11,11,13,10,10,9,18,23,15,11,9,13,15,13,9,9,10,6,8,5,4,5,7,3,2,2,2,0
2061,2,2,3,3,3,3,2,2,2,2,2,2,3,3,3,3,3,3,2,3,3,3,3,4,4,4,5,5,5,5,6,6,7,8,9,9,8,8,7,7,7,7,8,13,14,13,13,9,12,9,9,6,12,12,5,9,11,6,10,18,17,16,17,11,15,14,13,23,26,24,13,16,14,18,20,18,13,12,12,13,10,11,9,9,8,7,6,6,5,4,4,4,3,3,3,2,2,2,2,2,0,1,2,2,2,2,2,2,1,1,1,1,2,2,3,3,3,2,3,2,2,2,3,3,3,3,3,4,4,5,5,5,6,7,8,8,8,8,7,7,6,6,6,13,11,15,11,12,7,12,5,3,8,6,7,9,6,8,9,10,9,21,19,13,14,11,20,20,20,17,14,27,16,23,18,11,11,13,10,10,9,18,22,15,11,9,12,14,12,8,8,9,5,7,4,4,4,6,2,2,2,0
2062,1,2,2,3,3,3,3,2,2,2,2,2,2,3,3,3,3,3,3,2,3,3,3,3,4,4,4,5,5,5,5,6,6,7,8,9,9,8,8,7,7,7,7,8,13,14,13,13,9,12,9,9,6,12,12,5,9,11,6,10,18,17,16,17,11,15,14,13,23,26,24,13,16,14,18,19,17,13,12,12,12,10,10,8,8,7,6,6,5,4,4,4,3,3,3,2,2,2,2,2,0,1,1,2,2,2,2,2,2,1,1,1,1,2,2,3,3,3,2,3,2,2,2,3,3,3,3,3,4,4,5,5,5,6,7,8,8,8,8,7,7,6,6,6,13,11,15,11,12,7,12,5,3,8,6,7,9,6,8,9,10,9,21,19,13,14,11,20,20,20,17,14,27,16,23,18,11,11,13,10,10,9,18,21,14,11,9,11,13,11,7,7,8,5,6,4,3,3,5,2,2,0
2063,1,1,2,2,3,3,3,3,2,2,2,2,2,2,3,3,3,3,3,3,2,3,3,3,3,4,4,4,5,5,5,5,6,6,7,8,9,9,8,8,7,7,7,7,8,13,14,13,13,9,12,9,9,6,12,12,5,9,11,6,10,18,17,16,17,11,15,14,13,23,26,24,13,16,14,18,18,16,13,12,11,11,9,9,8,7,6,6,5,4,4,4,3,3,3,2,2,2,2,2,0,0,1,1,2,2,2,2,2,2,1,1,1,1,2,2,3,3,3,2,3,2,2,2,3,3,3,3,3,4,4,5,5,5,6,7,8,8,8,8,7,7,6,6,6,13,11,15,11,12,7,12,5,3,8,6,7,9,6,8,9,10,9,21,19,13,14,11,20,20,20,17,14,27,16,23,18,11,11,13,10,10,9,17,20,13,11,9,10,12,10,6,6,7,4,5,3,3,2,4,2,0
2064,0,1,1,2,2,3,3,3,3,2,2,2,2,2,2,3,3,3,3,3,3,2,3,3,3,3,4,4,4,5,5,5,5,6,6,7,8,9,9,8,8,7,7,7,7,8,13,14,13,13,9,12,9,9,6,12,12,5,9,11,6,10,18,17,16,17,11,15,14,13,23,26,24,13,16,14,17,17,15,12,11,10,10,8,8,7,6,6,5,4,4,4,3,3,3,2,2,2,2,2,0,0,0,1,1,2,2,2,2,2,2,1,1,1,1,2,2,3,3,3,2,3,2,2,2,3,3,3,3,3,4,4,5,5,5,6,7,8,8,8,8,7,7,6,6,6,13,11,15,11,12,7,12,5,3,8,6,7,9,6,8,9,10,9,21,19,13,14,11,20,20,20,17,14,27,16,23,18,11,11,13,10,10,9,16,19,12,10,9,9,11,9,5,5,6,4,4,3,2,2,3,0
2065,0,0,1,1,2,2,3,3,3,3,2,2,2,2,2,2,3,3,3,3,3,3,2,3,3,3,3,4,4,4,5,5,5,5,6,6,7,8,9,9,8,8,7,7,7,7,8,13,14,13,13,9,12,9,9,6,12,12,5,9,11,6,10,18,17,16,17,11,15,14,13,23,26,24,13,16,14,16,16,14,12,11,10,9,8,7,6,6,5,5,4,4,3,3,3,3,2,2,2,2,0,0,0,0,1,1,2,2,2,2,2,2,1,1,1,1,2,2,3,3,3,2,3,2,2,2,3,3,3,3,3,4,4,5,5,5,6,7,8,8,8,8,7,7,6,6,6,13,11,15,11,12,7,12,5,3,8,6,7,9,6,8,9,10,9,21,19,13,14,11,20,20,20,17,14,27,16,23,18,11,11,13,10,10,9,15,18,11,9,8,8,10,8,5,4,5,3,3,3,2,2,0
